PUESTO_TRABAJO,AREA,FECHA_INGRESO_PLANILLA,MOTIVO_SEPARACION,FECHA_CESE,SITUACION,COD_SEXO,ESTADO_CIVIL,FECHA_NACIMIENTO,SEGMENTO SIMPLE,TIPO_CASA,TIPO_INSTRUCCION,DISTRITO,PROVINCIA,DEPARTAMENTO,NÚMERO DE HIJOS
AUXILIAR GENERAL,TUNSHURUCO - ALIMENTACION,44635,RENUNCIA VOLUNTARIA,44682,CESADO,M,SOLTERO(A),37099,E&R,ALQUILADA,SUPERIOR INCOMPLETA,PILCOMAYO,HUANCAYO,DPTO JUNIN,SIN INFORMACION
AUXILIAR DE MANTENIMIENTO,TUNSHURUCO - MANTENIMIENTO,45079,TERMINO DE CONTRATO,45261,CESADO,M,SOLTERO(A),36410,E&R,FAMILIAR,TÉCNICA COMPLETA,MOROCOCHA,YAULI,DPTO JUNIN,SIN INFORMACION
COCINERO,QUELLAVECO - ALIMENTACION,44154,RENUNCIA VOLUNTARIA,44805,CESADO,M,SOLTERO(A),28130,E&R,NO APLICABLE,TÉCNICA COMPLETA,FERNANDO LORES,MAYNAS,DPTO LORETO,SIN INFORMACION
AUXILIAR DE HOTELERIA,QUELLAVECO - HOTELERIA,45414,TERMINO DE CONTRATO,45474,CESADO,F,SOLTERO(A),37306,E&R,PROPIA,SECUNDARIA COMPLETA,MOQUEGUA,MARISCAL NIETO,DPTO MOQUEGUA,0
COCINERO,QUELLAVECO - ALIMENTACION,43992,RENUNCIA VOLUNTARIA,44123,CESADO,M,SOLTERO(A),29777,E&R,NO APLICABLE,SECUNDARIA COMPLETA,LIMA,LIMA,DPTO LIMA,SIN INFORMACION
ASISTENTE DE COMEDOR,QUELLAVECO - ALIMENTACION,44252,TERMINO DE CONTRATO,45323,CESADO,F,SOLTERO(A),32952,E&R,NO APLICABLE,TÉCNICA COMPLETA,LIMA,LIMA,DPTO LIMA,3
JARDINERO,PPN LOTE 8 - MANTENIMIENTO,42782,TERMINO DE CONTRATO,43891,CESADO,M,SOLTERO(A),25005,E&R,NO APLICABLE,TÉCNICA INCOMPLETA,LIMA,LIMA,DPTO LIMA,SIN INFORMACION
AUXILIAR DE HOTELERIA,PLUSPETROL L 88 - HOTELERIA C4,43266,RENUNCIA VOLUNTARIA,44075,CESADO,M,SOLTERO(A),32650,E&R,NO APLICABLE,SECUNDARIA COMPLETA,LIMA,LIMA,DPTO LIMA,0
TECNICO DE MANTENIMIENTO - CARPINTERO,PPN LOTE 8 - MANTENIMIENTO,42782,ART 34° DECRETO LEG 728°,44013,CESADO,M,SOLTERO(A),24764,E&R,NO APLICABLE,TÉCNICA INCOMPLETA,LIMA,LIMA,DPTO LIMA,1
JARDINERO,PLUSPETROL L 56 - MANTENIMIENTO,44253,TERMINO DE CONTRATO,44440,CESADO,M,SOLTERO(A),31166,E&R,NO APLICABLE,SECUNDARIA COMPLETA,LIMA,LIMA,DPTO LIMA,SIN INFORMACION
NUTRICIONISTA,QUELLAVECO - ALIMENTACION,44968,TERMINO DE CONTRATO,45170,CESADO,F,SOLTERO(A),33723,E&R,ALQUILADA,TITULADO,MOQUEGUA,MARISCAL NIETO,DPTO MOQUEGUA,SIN INFORMACION
AUXILIAR DE HOTELERIA,MARSA - HOTELERIA,44813,RENUNCIA VOLUNTARIA,45108,CESADO,M,SOLTERO(A),36982,E&R,ALQUILADA,SECUNDARIA COMPLETA,SAN MARTIN DE PORRES,LIMA,DPTO LIMA,SIN INFORMACION
CHOFER,MARSA - MEDIO AMBIENTE,44617,PERIODO PRUEBA,44646,CESADO,M,SOLTERO(A),34042,E&R,ALQUILADA,TÉCNICA COMPLETA,SAN MIGUEL,LIMA,DPTO LIMA,SIN INFORMACION
TECNICO DE MEDIO AMBIENTE 3,MARSA - MEDIO AMBIENTE,44182,RENUNCIA VOLUNTARIA,44713,CESADO,M,SOLTERO(A),35432,E&R,NO APLICABLE,UNIVERS. COMPLETA,LAGUNAS,CHICLAYO,DPTO LAMBAYEQUE,1
AUXILIAR GENERAL,EL BROCAL,45288,PERIODO PRUEBA,45307,CESADO,M,SOLTERO(A),37556,E&R,ALQUILADA,SECUNDARIA COMPLETA,LIMA,LIMA,DPTO LIMA,0
MAESTRO DE COCINA,QUELLAVECO - ALIMENTACION,44130,TERMINO DE CONTRATO,45474,CESADO,M,CASADO(A),28223,E&R,NO APLICABLE,TÉCNICA COMPLETA,IQUITOS,MAYNAS,DPTO LORETO,SIN INFORMACION
AUXILIAR DE HOTELERIA,TUNSHURUCO - HOTELERIA,43706,TERMINO DE CONTRATO,44256,CESADO,F,SOLTERO(A),35937,E&R,NO APLICABLE,SECUND.  INCOMPLETA,LIMA,LIMA,DPTO LIMA,SIN INFORMACION
AYUDANTE DE PANADERIA,PAN AMERICAN SILVER - ARGENTUM ALPAMINA,43856,TERMINO DE CONTRATO,43983,CESADO,M,SOLTERO(A),36063,E&R,NO APLICABLE,SECUNDARIA COMPLETA,LIMA,LIMA,DPTO LIMA,SIN INFORMACION
MOZO,PAN AMERICAN SILVER - ARGENTUM GOLF,43717,RENUNCIA VOLUNTARIA,43831,CESADO,F,SOLTERO(A),30939,E&R,NO APLICABLE,SECUNDARIA COMPLETA,LIMA,LIMA,DPTO LIMA,SIN INFORMACION
AYUDANTE DE COCINA,GLENCORE - ALIMENTACION,44698,TERMINO DE CONTRATO,44866,CESADO,M,CONVIVIENTE,36597,E&R,ALQUILADA,SECUNDARIA COMPLETA,HUANCAN,HUANCAYO,DPTO JUNIN,0
AYUDANTE DE COCINA,PAN AMERICAN SILVER - ARGENTUM GOLF,44295,TERMINO DE CONTRATO,44440,CESADO,M,SOLTERO(A),32156,E&R,NO APLICABLE,SECUNDARIA COMPLETA,LIMA,LIMA,DPTO LIMA,0
VAJILLERO,PAN AMERICAN SILVER - ARGENTUM GOLF,44260,RENUNCIA VOLUNTARIA,44635,CESADO,M,SOLTERO(A),33449,E&R,NO APLICABLE,SECUNDARIA COMPLETA,COMAS,LIMA,DPTO LIMA,1
AUXILIAR DE MANTENIMIENTO,HUDBAY - MANTENIMIENTO,45215,RENUNCIA VOLUNTARIA,45444,CESADO,M,SOLTERO(A),36330,E&R,FAMILIAR,SECUNDARIA COMPLETA,CERRO COLORADO,CERRO COLORADO,DPTO AREQUIPA,0
MOZO,HOCHSCHILD - INMACULADA,45400,RENUNCIA VOLUNTARIA,45444,CESADO,M,SOLTERO(A),35158,E&R,PROPIA,SECUNDARIA COMPLETA,ALTO SELVA ALEGRE,PEREZ,DPTO AREQUIPA,0
AUXILIAR DE HOTELERIA,HUDBAY - HOTELERIA,45167,TERMINO DE CONTRATO,45352,CESADO,F,SOLTERO(A),33273,E&R,ALQUILADA,SECUNDARIA COMPLETA,SANTIAGO,CUSCO,DPTO CUSCO,0
AUXILIAR GENERAL,HOCHSCHILD - INMACULADA,43657,RENUNCIA VOLUNTARIA,43831,CESADO,F,SOLTERO(A),28015,E&R,NO APLICABLE,SECUNDARIA COMPLETA,LIMA,LIMA,DPTO LIMA,SIN INFORMACION
AUXILIAR DE HOTELERIA,PAMPA MELCHORITA - ALIMENTACION,44321,RENUNCIA VOLUNTARIA,44776,CESADO,F,SOLTERO(A),32875,E&R,NO APLICABLE,UNIVERS. INCOMPLETA,LIMA,LIMA,DPTO LIMA,0
CHOFER,QUELLAVECO - ALIMENTACION,44212,RENUNCIA VOLUNTARIA,45142,CESADO,M,SOLTERO(A),31625,E&R,NO APLICABLE,SECUNDARIA COMPLETA,LIMA,LIMA,DPTO LIMA,0
AUXILIAR DE LIMPIEZA,HUDBAY - LIMPIEZA,44743,TERMINO DE CONTRATO,44896,CESADO,F,SOLTERO(A),30924,E&R,PROPIA,SECUNDARIA COMPLETA,VELILLE,CHUMBIVILCAS,DPTO CUSCO,SIN INFORMACION
AUXILIAR GENERAL,HOCHSCHILD - INMACULADA,44363,RENUNCIA VOLUNTARIA,44392,CESADO,F,SOLTERO(A),33508,E&R,NO APLICABLE,SECUNDARIA COMPLETA,LIMA,LIMA,DPTO LIMA,SIN INFORMACION
SUPERVISOR DE PLANTAS DE AGUA,PLUSPETROL L 56 - PLANTAS DE AGUA,44683,RENUNCIA VOLUNTARIA,44785,CESADO,M,SOLTERO(A),30918,E&R,PROPIA,UNIVERS. COMPLETA,LOS OLIVOS,LIMA,DPTO LIMA,SIN INFORMACION
AUXILIAR DE HOTELERIA,PAMPA MELCHORITA - ALIMENTACION,43266,TERMINO DE CONTRATO,44986,CESADO,M,SOLTERO(A),34887,E&R,NO APLICABLE,SECUNDARIA COMPLETA,SAN VICENTE DE CANETE,CANETE,DPTO LIMA,SIN INFORMACION
AUXILIAR DE HOTELERIA,TUNSHURUCO - HOTELERIA,43833,RENUNCIA VOLUNTARIA,43891,CESADO,F,SOLTERO(A),34014,E&R,NO APLICABLE,TÉCNICA COMPLETA,LIMA,LIMA,DPTO LIMA,SIN INFORMACION
MOZO,PAN AMERICAN SILVER HUARON - ALIMENTACION,44684,RENUNCIA VOLUNTARIA,44785,CESADO,M,SOLTERO(A),32954,E&R,ALQUILADA,SECUNDARIA COMPLETA,CHICLAYO,CHICLAYO,DPTO LAMBAYEQUE,0
MOZO,PPN LOTE 8 - ALIMENTACION,43172,TERMINO DE CONTRATO,43891,CESADO,M,SOLTERO(A),29176,E&R,NO APLICABLE,SECUND.  INCOMPLETA,LIMA,LIMA,DPTO LIMA,SIN INFORMACION
SUPERVISOR DE MANTENIMIENTO,QUELLAVECO - MANTENIMIENTO,44515,TERMINO DE CONTRATO,44621,CESADO,M,SOLTERO(A),33262,E&R,NO APLICABLE,GRADO DE BACHILLER,MOQUEGUA,MARISCAL NIETO,DPTO MOQUEGUA,SIN INFORMACION
AUXILIAR DE HOTELERIA,TUNSHURUCO - ALIMENTACION,44729,TERMINO DE CONTRATO,44896,CESADO,M,SOLTERO(A),33811,E&R,PROPIA,SECUNDARIA COMPLETA,MOROCOCHA,YAULI,DPTO JUNIN,SIN INFORMACION
AUXILIAR DE HOTELERIA,TUCTU - HOTELERIA,43173,TERMINO DE CONTRATO,43983,CESADO,F,SOLTERO(A),31679,E&R,NO APLICABLE,SECUNDARIA COMPLETA,LIMA,LIMA,DPTO LIMA,2
AUXILIAR DE HOTELERIA,TUNSHURUCO - HOTELERIA,45443,RENUNCIA VOLUNTARIA,45474,CESADO,F,SOLTERO(A),32221,E&R,PROPIA,SECUND.  INCOMPLETA,LIMA,LIMA,DPTO LIMA,1
AUXILIAR GENERAL,PLUSPETROL L 88 - HOTELERIA C4,45236,TERMINO DE CONTRATO,45444,CESADO,M,SOLTERO(A),38346,E&R,ALQUILADA,SECUNDARIA COMPLETA,LIMA,LIMA,DPTO LIMA,0
LAVANDERO,TUNSHURUCO - HOTELERIA,43789,RENUNCIA VOLUNTARIA,45365,CESADO,M,SOLTERO(A),31797,E&R,NO APLICABLE,TÉCNICA COMPLETA,JUNIN,JUNIN,DPTO JUNIN,5
VAJILLERO,MINSUR SAN RAFAEL NUEVO - ALIMENTACION,45052,RENUNCIA VOLUNTARIA,45057,CESADO,M,SOLTERO(A),34048,E&R,PROPIA,SECUNDARIA COMPLETA,PUNO,PUNO,DPTO PUNO,SIN INFORMACION
AUXILIAR GENERAL,HOCHSCHILD - INMACULADA,44482,TERMINO DE CONTRATO,45261,CESADO,M,SOLTERO(A),37535,E&R,NO APLICABLE,TÉCNICA INCOMPLETA,LIMA,LIMA,DPTO LIMA,3
MOZO,PAN AMERICAN SILVER - ARGENTUM GOLF,44219,RENUNCIA VOLUNTARIA,44470,CESADO,M,SOLTERO(A),36457,E&R,NO APLICABLE,SECUNDARIA COMPLETA,LIMA,LIMA,DPTO LIMA,SIN INFORMACION
AUXILIAR GENERAL,PLUSPETROL L 88 - HOTELERIA C4,44873,RENUNCIA VOLUNTARIA,44896,CESADO,F,SOLTERO(A),35109,E&R,PROPIA,SECUNDARIA COMPLETA,PUENTE PIEDRA,LIMA,DPTO LIMA,SIN INFORMACION
AUXILIAR DE ADMINISTRACION,PLUSPETROL PISCO - ALIMENTACION,44270,RENUNCIA VOLUNTARIA,44348,CESADO,F,SOLTERO(A),35269,E&R,NO APLICABLE,SECUNDARIA COMPLETA,LIMA,LIMA,DPTO LIMA,SIN INFORMACION
AYUDANTE DE COCINA,MILPO EL PORVENIR - ALIMENTACION,44292,TERMINO DE CONTRATO,44562,CESADO,M,SOLTERO(A),36227,E&R,NO APLICABLE,SECUNDARIA COMPLETA,EL AGUSTINO,LIMA,DPTO LIMA,SIN INFORMACION
AUXILIAR DE HOTELERIA,TUNSHURUCO - ALIMENTACION,44219,TERMINO DE CONTRATO,44927,CESADO,F,SOLTERO(A),33007,E&R,NO APLICABLE,SECUNDARIA COMPLETA,LIMA,LIMA,DPTO LIMA,SIN INFORMACION
AUXILIAR DE HOTELERIA,TUNSHURUCO - HOTELERIA,43879,TERMINO DE CONTRATO,44927,CESADO,F,SOLTERO(A),30480,E&R,NO APLICABLE,SECUNDARIA COMPLETA,ATE,LIMA,DPTO LIMA,SIN INFORMACION
MOZO,QUELLAVECO - ALIMENTACION,44375,TERMINO DE CONTRATO,44652,CESADO,F,SOLTERO(A),27331,E&R,NO APLICABLE,SECUNDARIA COMPLETA,LIMA,LIMA,DPTO LIMA,SIN INFORMACION
AUXILIAR GENERAL,TANTAHUATAY COIMOLACHE - ALIMENTACION,43812,RENUNCIA VOLUNTARIA,44045,CESADO,M,SOLTERO(A),36809,E&R,NO APLICABLE,SECUNDARIA COMPLETA,LIMA,LIMA,DPTO LIMA,0
PANADERO,MINSUR SAN RAFAEL NUEVO - ALIMENTACION,44562,TERMINO DE CONTRATO,44896,CESADO,M,SOLTERO(A),35750,E&R,ALQUILADA,TÉCNICA COMPLETA,SAN MARTIN DE PORRES,LIMA,DPTO LIMA,SIN INFORMACION
AUXILIAR GENERAL,PLUSPETROL L 88 - HOTELERIA C4,44831,RENUNCIA VOLUNTARIA,44896,CESADO,M,SOLTERO(A),35606,E&R,ALQUILADA,SECUNDARIA COMPLETA,PUENTE PIEDRA,LIMA,DPTO LIMA,2
TECNICO DE MANTENIMIENTO - ELECTROMECANICO,PPN LOTE 8 - MANTENIMIENTO,42830,TERMINO DE CONTRATO,44075,CESADO,M,SOLTERO(A),32282,E&R,NO APLICABLE,TÉCNICA COMPLETA,LIMA,LIMA,DPTO LIMA,SIN INFORMACION
AUXILIAR DE HOTELERIA,PAMPA MELCHORITA - ALIMENTACION,44256,PERIODO PRUEBA,44273,CESADO,M,SOLTERO(A),28454,E&R,NO APLICABLE,SECUNDARIA COMPLETA,LIMA,LIMA,DPTO LIMA,SIN INFORMACION
JARDINERO,ENEL GYD - MANTENIMIENTO,43822,PERIODO PRUEBA,43843,CESADO,M,SOLTERO(A),30729,E&R,NO APLICABLE,SECUNDARIA COMPLETA,LIMA,LIMA,DPTO LIMA,SIN INFORMACION
LAVANDERO,TUNSHURUCO - HOTELERIA,45023,RENUNCIA VOLUNTARIA,45054,CESADO,F,SOLTERO(A),36169,E&R,ALQUILADA,SECUNDARIA COMPLETA,LA OROYA,YAULI,DPTO JUNIN,SIN INFORMACION
AUXILIAR DE LIMPIEZA,ENEL GYD - LIMPIEZA,43738,TERMINO DE CONTRATO,44075,CESADO,M,SOLTERO(A),29134,E&R,NO APLICABLE,SECUNDARIA COMPLETA,LIMA,LIMA,DPTO LIMA,SIN INFORMACION
MOZO,MINSUR PUCAMARCA NUEVO - ALIMENTACION,44448,RENUNCIA VOLUNTARIA,45078,CESADO,F,SOLTERO(A),31732,E&R,NO APLICABLE,SECUND.  INCOMPLETA,LIMA,LIMA,DPTO LIMA,SIN INFORMACION
AUXILIAR DE LOGISTICA,PLUSPETROL L 88 - LOGISTICA,43826,RENUNCIA VOLUNTARIA,43866,CESADO,M,SOLTERO(A),31932,E&R,NO APLICABLE,SECUNDARIA COMPLETA,LIMA,LIMA,DPTO LIMA,SIN INFORMACION
AUXILIAR DE HOTELERIA,HUDBAY - HOTELERIA,44923,TERMINO DE CONTRATO,45231,CESADO,M,SOLTERO(A),37577,E&R,PROPIA,SECUNDARIA COMPLETA,VELILLE,CHUMBIVILCAS,DPTO CUSCO,SIN INFORMACION
CHOFER,ALTO MONTAÑA - ALIMENTACION,43976,TERMINO DE CONTRATO,45413,CESADO,M,SOLTERO(A),30404,E&R,NO APLICABLE,UNIVERS. COMPLETA,PUNO,PUNO,DPTO PUNO,SIN INFORMACION
TECNICO DE MANTENIMIENTO - PINTOR,PLUSPETROL L 56 - MANTENIMIENTO,45107,RENUNCIA VOLUNTARIA,45231,CESADO,M,SOLTERO(A),24904,E&R,PROPIA,SECUNDARIA COMPLETA,CARABAYLLO,LIMA,DPTO LIMA,SIN INFORMACION
AUXILIAR DE MEDIO AMBIENTE,MARSA - MEDIO AMBIENTE,43873,PERIODO PRUEBA,43891,CESADO,M,SOLTERO(A),28879,E&R,NO APLICABLE,SECUNDARIA COMPLETA,LIMA,LIMA,DPTO LIMA,SIN INFORMACION
ALMACENERO,MARSA - ALMACEN CENTRAL,41253,RENUNCIA VOLUNTARIA,44958,CESADO,M,CONVIVIENTE,32401,E&R,NO APLICABLE,UNIVERS. INCOMPLETA,CHAO,VIRU,DPTO LA LIBERTAD,2
SUPERVISOR DE SERVICIOS,TUNSHURUCO - HOTELERIA,44057,TERMINO DE CONTRATO,44440,CESADO,M,SOLTERO(A),32080,E&R,NO APLICABLE,SECUNDARIA COMPLETA,LIMA,LIMA,DPTO LIMA,1
CHOFER,MARSA - ALMACEN CENTRAL,44350,PERIODO PRUEBA,44378,CESADO,M,SOLTERO(A),29581,E&R,NO APLICABLE,SECUNDARIA COMPLETA,LIMA,LIMA,DPTO LIMA,SIN INFORMACION
CHOFER,TUNSHURUCO - ALIMENTACION,43762,TERMINO DE CONTRATO,44440,CESADO,M,SOLTERO(A),28484,E&R,NO APLICABLE,SECUNDARIA COMPLETA,LIMA,LIMA,DPTO LIMA,SIN INFORMACION
TECNICO DE MANTENIMIENTO - ELECTROMECANICO,TUNSHURUCO - MANTENIMIENTO,44058,RENUNCIA VOLUNTARIA,44197,CESADO,M,SOLTERO(A),31153,E&R,NO APLICABLE,SECUNDARIA COMPLETA,LIMA,LIMA,DPTO LIMA,SIN INFORMACION
MOZO,GLENCORE - ALIMENTACION,44537,RENUNCIA VOLUNTARIA,44682,CESADO,M,CONVIVIENTE,35741,E&R,ALQUILADA,SUPERIOR INCOMPLETA,EL TAMBO,HUANCAYO,DPTO JUNIN,SIN INFORMACION
AUXILIAR DE HOTELERIA,HUDBAY - HOTELERIA,44743,TERMINO DE CONTRATO,44896,CESADO,M,SOLTERO(A),36860,E&R,PROPIA,SECUNDARIA COMPLETA,VELILLE,CHUMBIVILCAS,DPTO CUSCO,2
MOZO,MARSA - ALIMENTACION,44224,RENUNCIA VOLUNTARIA,45261,CESADO,M,SOLTERO(A),29654,E&R,NO APLICABLE,UNIVERS. INCOMPLETA,LIMA,LIMA,DPTO LIMA,SIN INFORMACION
AYUDANTE DE COCINA,QUELLAVECO - ALIMENTACION,44147,TERMINO DE CONTRATO,45474,CESADO,M,SOLTERO(A),36804,E&R,NO APLICABLE,SECUNDARIA COMPLETA,IQUITOS,MAYNAS,DPTO LORETO,SIN INFORMACION
AUXILIAR GENERAL,EL BROCAL,44356,RENUNCIA VOLUNTARIA,44682,CESADO,M,SOLTERO(A),36574,E&R,NO APLICABLE,SECUNDARIA COMPLETA,LIMA,LIMA,DPTO LIMA,SIN INFORMACION
AUXILIAR DE HOTELERIA,TUNSHURUCO - HOTELERIA,43879,RENUNCIA VOLUNTARIA,44682,CESADO,F,SOLTERO(A),33712,E&R,NO APLICABLE,SECUNDARIA COMPLETA,CHILCA,HUANCAYO,DPTO JUNIN,2
AUXILIAR DE HOTELERIA,TUNSHURUCO - HOTELERIA,44635,RENUNCIA VOLUNTARIA,44750,CESADO,F,SOLTERO(A),36852,E&R,ALQUILADA,TÉCNICA INCOMPLETA,CHILCA,HUANCAYO,DPTO JUNIN,0
TECNICO DE MANTENIMIENTO - CARPINTERO,MARSA - MANTENIMIENTO,43754,TERMINO DE CONTRATO,43891,CESADO,M,SOLTERO(A),30257,E&R,NO APLICABLE,SECUNDARIA COMPLETA,LIMA,LIMA,DPTO LIMA,SIN INFORMACION
AUXILIAR DE ALMACEN,PAMPA MELCHORITA - ALIMENTACION,44393,RENUNCIA VOLUNTARIA,44624,CESADO,M,SOLTERO(A),34149,E&R,NO APLICABLE,SECUNDARIA COMPLETA,LIMA,LIMA,DPTO LIMA,SIN INFORMACION
SUPERVISOR DE COMEDOR,MINSUR SAN RAFAEL NUEVO - ALIMENTACION,44081,TERMINO DE CONTRATO,44348,CESADO,M,CASADO(A),30834,E&R,NO APLICABLE,SECUNDARIA COMPLETA,LIMA,LIMA,DPTO LIMA,SIN INFORMACION
ASISTENTE DE ALIMENTACION,PLUSPETROL L 88 - CATERING C6,44079,TERMINO DE CONTRATO,44348,CESADO,M,SOLTERO(A),35937,E&R,NO APLICABLE,SECUNDARIA COMPLETA,LIMA,LIMA,DPTO LIMA,SIN INFORMACION
MOZO,HUDBAY - ALIMENTACION,44749,PERIODO PRUEBA,44774,CESADO,M,CONVIVIENTE,29824,E&R,PROPIA,SECUNDARIA COMPLETA,SIN INFORMACION, TALARA,DPTO PIURA ,1
PANADERO,UCHUCCHACUA - ALIMENTACION,43678,TERMINO DE CONTRATO,44531,CESADO,M,SOLTERO(A),24477,E&R,NO APLICABLE,SECUNDARIA COMPLETA,PUCARA,HUANCAYO,DPTO JUNIN,SIN INFORMACION
MOZO,QUELLAVECO - ALIMENTACION,44048,RENUNCIA VOLUNTARIA,44136,CESADO,F,SOLTERO(A),35829,E&R,NO APLICABLE,SECUNDARIA COMPLETA,LIMA,LIMA,DPTO LIMA,0
TECNICO DE MANTENIMIENTO - ALBAÑIL,QUELLAVECO - MANTENIMIENTO,44165,TERMINO DE CONTRATO,44562,CESADO,M,SOLTERO(A),29614,E&R,NO APLICABLE,SECUNDARIA COMPLETA,OXAPAMPA,OXAPAMPA,DPTO PASCO,SIN INFORMACION
AYUDANTE DE COCINA,VOTORANTIM METAIS - ALIMENTACION,44640,PERIODO PRUEBA,44690,CESADO,M,SOLTERO(A),33777,E&R,PROPIA,SECUNDARIA COMPLETA,EL TAMBO,HUANCAYO,DPTO JUNIN,SIN INFORMACION
AUXILIAR DE MANTENIMIENTO,PLUSPETROL L 56 - MANTENIMIENTO,45033,RENUNCIA VOLUNTARIA,45122,CESADO,M,SOLTERO(A),32516,E&R,ALQUILADA,SECUNDARIA COMPLETA,SAN MARTIN DE PORRES,LIMA,DPTO LIMA,SIN INFORMACION
TECNICO DE MANTENIMIENTO - ALBAÑIL,PAMPA MELCHORITA - MANTENIMIENTO,44137,RENUNCIA VOLUNTARIA,44412,CESADO,M,SOLTERO(A),32050,E&R,NO APLICABLE,SECUNDARIA COMPLETA,LIMA,LIMA,DPTO LIMA,SIN INFORMACION
ASISTENTE DE ALIMENTACION,PLUSPETROL L 88 - CATERING C6,44246,PERIODO PRUEBA,44275,CESADO,M,SOLTERO(A),36769,E&R,NO APLICABLE,SECUNDARIA COMPLETA,LIMA,LIMA,DPTO LIMA,SIN INFORMACION
NUTRICIONISTA,HIDROELECTRICA HUANZA - ALIMENTACION,44484,TERMINO DE CONTRATO,44927,CESADO,F,CASADO(A),31364,E&R,NO APLICABLE,SECUNDARIA COMPLETA,LIMA,LIMA,DPTO LIMA,SIN INFORMACION
SUPERVISOR DE HS&E,HEAD - OFICINA SEGURIDAD (NO UTILIZAR),44791,RENUNCIA VOLUNTARIA,44866,CESADO,F,SOLTERO(A),35922,E&R,ALQUILADA,SECUNDARIA COMPLETA,LURIGANCHO,LIMA,DPTO LIMA,SIN INFORMACION
ASISTENTE ADMINISTRATIVO DE SALUD OCUPACIONAL,HUDBAY - ALIMENTACION,44294,TERMINO DE CONTRATO,44927,CESADO,F,SOLTERO(A),26851,E&R,NO APLICABLE,UNIVERS. COMPLETA,WANCHAQ,CUSCO,DPTO CUSCO,SIN INFORMACION
AUXILIAR GENERAL,MARSA - ALIMENTACION,45274,RENUNCIA VOLUNTARIA,45323,CESADO,M,SOLTERO(A),36218,E&R,ALOJADO,SECUNDARIA COMPLETA,TRUJILLO,TRUJILLO,DPTO LA LIBERTAD,0
TECNICO DE MEDIO AMBIENTE 3,MARSA - MEDIO AMBIENTE,45176,PERIODO PRUEBA,45208,CESADO,M,SOLTERO(A),32678,E&R,ALQUILADA,SECUNDARIA COMPLETA,CHICAMA,ASCOPE,DPTO LA LIBERTAD,1
AUXILIAR DE HOTELERIA,GLENCORE - HOTELERIA,41768,MUTUO DISENSO,44957,CESADO,M,SOLTERO(A),25305,E&R,NO APLICABLE,UNIVERS. INCOMPLETA,SAN JUAN DE LURIGANCHO,LIMA,DPTO LIMA,SIN INFORMACION
TECNICO DE MANTENIMIENTO - ELECTROMECANICO,PLUSPETROL L 56 - PLANTAS DE AGUA,42614,ART 34° DECRETO LEG 728°,44050,CESADO,M,SOLTERO(A),24996,E&R,NO APLICABLE,SECUNDARIA COMPLETA,LIMA,LIMA,DPTO LIMA,SIN INFORMACION
AUXILIAR DE HOTELERIA,QUELLAVECO - HOTELERIA,44642,TERMINO DE CONTRATO,45047,CESADO,F,SOLTERO(A),35310,E&R,ALQUILADA,UNIVERS. COMPLETA,ILO,ILO,DPTO MOQUEGUA,1
ASISTENTE DE COMEDOR,QUELLAVECO - ALIMENTACION,44361,TERMINO DE CONTRATO,45474,CESADO,F,SOLTERO(A),34005,E&R,NO APLICABLE,UNIVERS. COMPLETA,LIMA,LIMA,DPTO LIMA,SIN INFORMACION
AUXILIAR DE HOTELERIA,QUELLAVECO - HOTELERIA,44635,TERMINO DE CONTRATO,45474,CESADO,F,SOLTERO(A),36878,E&R,PROPIA,SECUNDARIA COMPLETA,CONEL GREGORIO ALBARRACIN L.A.U.,TACNA,DPTO TACNA,SIN INFORMACION
AUXILIAR GENERAL,HOCHSCHILD - INMACULADA,45092,PERIODO PRUEBA,45112,CESADO,M,SOLTERO(A),33086,E&R,ALQUILADA,SECUNDARIA COMPLETA,PAUCARPATA,AREQUIPA,DPTO AREQUIPA,SIN INFORMACION
AUXILIAR DE HOTELERIA,QUELLAVECO - HOTELERIA,44048,TERMINO DE CONTRATO,44621,CESADO,F,SOLTERO(A),35129,E&R,NO APLICABLE,SECUNDARIA COMPLETA,SAMEGUA,MARISCAL NIETO,DPTO MOQUEGUA,SIN INFORMACION
ESTIBADOR,QUELLAVECO - ALIMENTACION,44158,TERMINO DE CONTRATO,44256,CESADO,M,SOLTERO(A),35486,E&R,NO APLICABLE,SECUNDARIA COMPLETA,LIMA,LIMA,DPTO LIMA,SIN INFORMACION
SUPERVISOR DE MANTENIMIENTO,QUELLAVECO - MANTENIMIENTO,44237,TERMINO DE CONTRATO,45474,CESADO,M,SOLTERO(A),33175,E&R,NO APLICABLE,TÉCNICA COMPLETA,LIMA,LIMA,DPTO LIMA,1
ALMACENERO,TUNSHURUCO - MANTENIMIENTO,45324,RENUNCIA VOLUNTARIA,45444,CESADO,M,SOLTERO(A),33162,E&R,FAMILIAR,SECUNDARIA COMPLETA,CELENDIN,CELENDIN,CELENDIN,0
CHOFER,TAMBOMAYO - ALIMENTACION,44624,RENUNCIA VOLUNTARIA,45079,CESADO,M,SOLTERO(A),33403,E&R,ALQUILADA,SECUNDARIA COMPLETA,AREQUIPA,AREQUIPA,DPTO AREQUIPA,SIN INFORMACION
COCINERO,MINSUR REFINERIA PISCO - ALIMENTACION,44093,RENUNCIA VOLUNTARIA,44109,CESADO,M,SOLTERO(A),22375,E&R,NO APLICABLE,SECUNDARIA COMPLETA,LIMA,LIMA,DPTO LIMA,SIN INFORMACION
